ID,IS_COMMON_POSITION,EPC,VARIANCE,METHOD,BESTIMATE,FASTIMATE,DIFFERENCE
000000F,no,0,few checkers,few checkers,-1,-1,1
000001E,yes,8.17,few checkers,few checkers,-1,-1,9.2
000010E,yes,8.17,few checkers,few checkers,-1,-1,9.2
000100E,yes,8.17,few checkers,few checkers,-1,-1,9.2
001000E,yes,8.62,few checkers,few checkers,-1,-1,9.6
010000E,yes,9.3,few checkers,few checkers,-1,-1,10.3
100000E,yes,10.21,few checkers,few checkers,-1,-1,11.2
000002D,yes,8.17,few checkers,few checkers,-1,-1,9.2
000011D,yes,8.17,few checkers,few checkers,-1,-1,9.2
000020D,yes,10.44,few checkers,few checkers,-1,-1,11.4
000101D,yes,8.62,few checkers,few checkers,-1,-1,9.6
000110D,yes,10.66,few checkers,few checkers,-1,-1,11.7
000200D,yes,12.48,few checkers,few checkers,-1,-1,13.5
001001D,yes,9.75,few checkers,few checkers,-1,-1,10.8
001010D,yes,11.12,few checkers,few checkers,-1,-1,12.1
001100D,yes,12.5,few checkers,few checkers,-1,-1,13.5
002000D,yes,13.96,few checkers,few checkers,-1,-1,15
010001D,yes,11.12,few checkers,few checkers,-1,-1,12.1
010010D,yes,12.05,few checkers,few checkers,-1,-1,13.1
010100D,yes,13.26,few checkers,few checkers,-1,-1,14.3
011000D,yes,14.37,few checkers,few checkers,-1,-1,15.4
020000D,yes,15.64,few checkers,few checkers,-1,-1,16.6
100001D,yes,12.96,few checkers,few checkers,-1,-1,14
100010D,yes,13.49,few checkers,few checkers,-1,-1,14.5
100100D,yes,14.32,few checkers,few checkers,-1,-1,15.3
101000D,yes,15.11,few checkers,few checkers,-1,-1,16.1
110000D,yes,16.01,few checkers,few checkers,-1,-1,17
200000D,yes,17.23,few checkers,few checkers,-1,-1,18.2
000003C,yes,14.97,few checkers,few checkers,-1,-1,16
000012C,yes,14.97,few checkers,few checkers,-1,-1,16
000021C,yes,15.2,few checkers,few checkers,-1,-1,16.2
000030C,yes,15.2,few checkers,few checkers,-1,-1,16.2
000102C,yes,15.2,few checkers,few checkers,-1,-1,16.2
000111C,yes,15.2,few checkers,few checkers,-1,-1,16.2
000120C,yes,15.22,few checkers,few checkers,-1,-1,16.2
000201C,yes,15.45,few checkers,few checkers,-1,-1,16.4
000210C,yes,15.68,few checkers,few checkers,-1,-1,16.7
000300C,yes,16.39,few checkers,few checkers,-1,-1,17.4
001002C,yes,15.2,few checkers,few checkers,-1,-1,16.2
001011C,yes,15.22,few checkers,few checkers,-1,-1,16.2
001020C,yes,15.43,few checkers,few checkers,-1,-1,16.4
001101C,yes,15.55,few checkers,few checkers,-1,-1,16.6
001110C,yes,15.82,few checkers,few checkers,-1,-1,16.8
001200C,yes,16.49,few checkers,few checkers,-1,-1,17.5
002001C,yes,16.4,few checkers,few checkers,-1,-1,17.4
002010C,yes,16.57,few checkers,few checkers,-1,-1,17.6
002100C,yes,17.33,few checkers,few checkers,-1,-1,18.3
003000C,yes,18.52,few checkers,few checkers,-1,-1,19.5
010002C,yes,15.45,few checkers,few checkers,-1,-1,16.4
010011C,yes,15.63,few checkers,few checkers,-1,-1,16.6
010020C,yes,16.26,few checkers,few checkers,-1,-1,17.3
010101C,yes,15.76,few checkers,few checkers,-1,-1,16.8
010110C,yes,16.16,few checkers,few checkers,-1,-1,17.2
010200C,yes,17.22,few checkers,few checkers,-1,-1,18.2
011001C,yes,16.34,few checkers,few checkers,-1,-1,17.3
011010C,yes,17,few checkers,few checkers,-1,-1,18
011100C,yes,17.65,few checkers,few checkers,-1,-1,18.6
012000C,yes,18.69,few checkers,few checkers,-1,-1,19.7
020001C,yes,17.95,few checkers,few checkers,-1,-1,18.9
020010C,yes,18.47,few checkers,few checkers,-1,-1,19.5
020100C,yes,19.08,few checkers,few checkers,-1,-1,20.1
021000C,yes,19.74,few checkers,few checkers,-1,-1,20.7
030000C,yes,21.15,few checkers,few checkers,-1,-1,22.1
100002C,yes,15.93,few checkers,few checkers,-1,-1,16.9
100011C,yes,15.86,few checkers,few checkers,-1,-1,16.9
100020C,yes,17,few checkers,few checkers,-1,-1,18
100101C,yes,16.14,few checkers,few checkers,-1,-1,17.1
100110C,yes,16.99,few checkers,few checkers,-1,-1,18
100200C,yes,17.91,few checkers,few checkers,-1,-1,18.9
101001C,yes,17.14,few checkers,few checkers,-1,-1,18.1
101010C,yes,17.66,few checkers,few checkers,-1,-1,18.7
101100C,yes,18.4,few checkers,few checkers,-1,-1,19.4
102000C,yes,19.6,few checkers,few checkers,-1,-1,20.6
110001C,yes,18.01,few checkers,few checkers,-1,-1,19
110010C,yes,19.02,few checkers,few checkers,-1,-1,20
110100C,yes,19.4,few checkers,few checkers,-1,-1,20.4
111000C,yes,20.31,few checkers,few checkers,-1,-1,21.3
120000C,yes,21.45,few checkers,few checkers,-1,-1,22.4
200001C,yes,20.06,few checkers,few checkers,-1,-1,21.1
200010C,yes,20.63,few checkers,few checkers,-1,-1,21.6
200100C,yes,21.06,few checkers,few checkers,-1,-1,22.1
201000C,yes,21.81,few checkers,few checkers,-1,-1,22.8
210000C,yes,22.47,few checkers,few checkers,-1,-1,23.5
300000C,yes,23.79,few checkers,few checkers,-1,-1,24.8
000004B,yes,14.97,few checkers,few checkers,-1,-1,16
000013B,yes,15.2,few checkers,few checkers,-1,-1,16.2
000022B,yes,15.2,few checkers,few checkers,-1,-1,16.2
000031B,yes,15.83,few checkers,few checkers,-1,-1,16.8
000040B,yes,18.48,few checkers,few checkers,-1,-1,19.5
000103B,yes,15.8,few checkers,few checkers,-1,-1,16.8
000112B,yes,15.45,few checkers,few checkers,-1,-1,16.4
000121B,yes,16.08,few checkers,few checkers,-1,-1,17.1
000130B,yes,18.71,few checkers,few checkers,-1,-1,19.7
000202B,yes,17.44,few checkers,few checkers,-1,-1,18.4
000211B,yes,16.39,few checkers,few checkers,-1,-1,17.4
000220B,yes,18.81,few checkers,few checkers,-1,-1,19.8
000301B,yes,18.81,few checkers,few checkers,-1,-1,19.8
000310B,yes,19.59,few checkers,few checkers,-1,-1,20.6
000400B,yes,21.01,few checkers,few checkers,-1,-1,22
001003B,yes,16.79,few checkers,few checkers,-1,-1,17.8
001012B,yes,16.51,few checkers,few checkers,-1,-1,17.5
001021B,yes,17.01,few checkers,few checkers,-1,-1,18
001030B,yes,19.21,few checkers,few checkers,-1,-1,20.2
001102B,yes,17.76,few checkers,few checkers,-1,-1,18.8
001111B,yes,16.72,few checkers,few checkers,-1,-1,17.7
001120B,yes,19.08,few checkers,few checkers,-1,-1,20.1
001201B,yes,19.05,few checkers,few checkers,-1,-1,20.1
001210B,yes,19.66,few checkers,few checkers,-1,-1,20.7
001300B,yes,21.26,few checkers,few checkers,-1,-1,22.3
002002B,yes,19.44,few checkers,few checkers,-1,-1,20.4
002011B,yes,18.77,few checkers,few checkers,-1,-1,19.8
002020B,yes,20.27,few checkers,few checkers,-1,-1,21.3
002101B,yes,19.2,few checkers,few checkers,-1,-1,20.2
002110B,yes,19.96,few checkers,few checkers,-1,-1,21
002200B,yes,21.35,few checkers,few checkers,-1,-1,22.4
003001B,yes,21.07,few checkers,few checkers,-1,-1,22.1
003010B,yes,21.5,few checkers,few checkers,-1,-1,22.5
003100B,yes,22.12,few checkers,few checkers,-1,-1,23.1
004000B,yes,23.38,few checkers,few checkers,-1,-1,24.4
010003B,yes,18.17,few checkers,few checkers,-1,-1,19.2
010012B,yes,17.98,few checkers,few checkers,-1,-1,19
010021B,yes,18.36,few checkers,few checkers,-1,-1,19.4
010030B,yes,20.04,few checkers,few checkers,-1,-1,21
010102B,yes,19.06,few checkers,few checkers,-1,-1,20.1
010111B,yes,18.33,few checkers,few checkers,-1,-1,19.3
010120B,yes,19.94,few checkers,few checkers,-1,-1,20.9
010201B,yes,19.91,few checkers,few checkers,-1,-1,20.9
010210B,yes,20.6,few checkers,few checkers,-1,-1,21.6
010300B,yes,21.84,few checkers,few checkers,-1,-1,22.8
011002B,yes,19.99,few checkers,few checkers,-1,-1,21
011011B,yes,19.2,few checkers,few checkers,-1,-1,20.2
011020B,yes,20.66,few checkers,few checkers,-1,-1,21.7
011101B,yes,19.81,few checkers,few checkers,-1,-1,20.8
011110B,yes,20.42,few checkers,few checkers,-1,-1,21.4
011200B,yes,21.81,few checkers,few checkers,-1,-1,22.8
012001B,yes,21.4,few checkers,few checkers,-1,-1,22.4
012010B,yes,21.86,few checkers,few checkers,-1,-1,22.9
012100B,yes,22.5,few checkers,few checkers,-1,-1,23.5
013000B,yes,23.69,few checkers,few checkers,-1,-1,24.7
020002B,no,21.29,few checkers,few checkers,-1,-1,22.3
020011B,yes,21.03,few checkers,few checkers,-1,-1,22
020020B,yes,21.96,few checkers,few checkers,-1,-1,23
020101B,yes,21.49,few checkers,few checkers,-1,-1,22.5
020110B,yes,21.86,few checkers,few checkers,-1,-1,22.9
020200B,yes,22.96,few checkers,few checkers,-1,-1,24
021001B,yes,21.95,few checkers,few checkers,-1,-1,22.9
021010B,yes,22.46,few checkers,few checkers,-1,-1,23.5
021100B,yes,23.14,few checkers,few checkers,-1,-1,24.1
022000B,yes,24.15,few checkers,few checkers,-1,-1,25.1
030001B,yes,23.68,few checkers,few checkers,-1,-1,24.7
030010B,yes,24.12,few checkers,few checkers,-1,-1,25.1
030100B,yes,24.67,few checkers,few checkers,-1,-1,25.7
031000B,yes,25.25,few checkers,few checkers,-1,-1,26.3
040000B,yes,26.75,few checkers,few checkers,-1,-1,27.8
100003B,yes,19.94,few checkers,few checkers,-1,-1,20.9
100012B,yes,19.87,few checkers,few checkers,-1,-1,20.9
100021B,yes,20.12,few checkers,few checkers,-1,-1,21.1
100030B,yes,21.19,few checkers,few checkers,-1,-1,22.2
100102B,yes,20.56,few checkers,few checkers,-1,-1,21.6
100111B,yes,20.04,few checkers,few checkers,-1,-1,21
100120B,yes,21.18,few checkers,few checkers,-1,-1,22.2
100201B,yes,21.18,few checkers,few checkers,-1,-1,22.2
100210B,yes,21.64,few checkers,few checkers,-1,-1,22.6
100300B,yes,22.76,few checkers,few checkers,-1,-1,23.8
101002B,yes,21.11,few checkers,few checkers,-1,-1,22.1
101011B,yes,20.68,few checkers,few checkers,-1,-1,21.7
101020B,yes,21.64,few checkers,few checkers,-1,-1,22.6
101101B,yes,21.18,few checkers,few checkers,-1,-1,22.2
101110B,yes,21.66,few checkers,few checkers,-1,-1,22.7
101200B,yes,22.74,few checkers,few checkers,-1,-1,23.7
102001B,yes,22.4,few checkers,few checkers,-1,-1,23.4
102010B,yes,22.81,few checkers,few checkers,-1,-1,23.8
102100B,yes,23.28,few checkers,few checkers,-1,-1,24.3
103000B,yes,24.64,few checkers,few checkers,-1,-1,25.6
110002B,no,21.72,few checkers,few checkers,-1,-1,22.7
110011B,yes,21.42,few checkers,few checkers,-1,-1,22.4
110020B,yes,22.42,few checkers,few checkers,-1,-1,23.4
110101B,yes,21.89,few checkers,few checkers,-1,-1,22.9
110110B,yes,22.39,few checkers,few checkers,-1,-1,23.4
110200B,yes,23.33,few checkers,few checkers,-1,-1,24.3
111001B,yes,22.55,few checkers,few checkers,-1,-1,23.6
111010B,yes,23.09,few checkers,few checkers,-1,-1,24.1
111100B,yes,23.67,few checkers,few checkers,-1,-1,24.7
112000B,yes,24.79,few checkers,few checkers,-1,-1,25.8
120001B,yes,23.95,few checkers,few checkers,-1,-1,24.9
120010B,yes,24.5,few checkers,few checkers,-1,-1,25.5
120100B,yes,24.93,few checkers,few checkers,-1,-1,25.9
121000B,yes,25.79,few checkers,few checkers,-1,-1,26.8
130000B,yes,27.1,few checkers,few checkers,-1,-1,28.1
200002B,yes,22.76,few checkers,few checkers,-1,-1,23.8
200011B,yes,22.63,few checkers,few checkers,-1,-1,23.6
200020B,yes,23.79,few checkers,few checkers,-1,-1,24.8
200101B,yes,23.12,few checkers,few checkers,-1,-1,24.1
200110B,yes,23.72,few checkers,few checkers,-1,-1,24.7
200200B,yes,24.53,few checkers,few checkers,-1,-1,25.5
201001B,yes,23.88,few checkers,few checkers,-1,-1,24.9
201010B,yes,24.19,few checkers,few checkers,-1,-1,25.2
201100B,yes,24.91,few checkers,few checkers,-1,-1,25.9
202000B,yes,26.06,few checkers,few checkers,-1,-1,27.1
210001B,yes,24.42,few checkers,few checkers,-1,-1,25.4
210010B,yes,25.24,few checkers,few checkers,-1,-1,26.2
210100B,yes,25.73,few checkers,few checkers,-1,-1,26.7
211000B,yes,26.53,few checkers,few checkers,-1,-1,27.5
220000B,yes,27.65,few checkers,few checkers,-1,-1,28.6
300001B,yes,26.44,few checkers,few checkers,-1,-1,27.4
300010B,yes,26.96,few checkers,few checkers,-1,-1,28
300100B,yes,27.35,few checkers,few checkers,-1,-1,28.4
301000B,yes,28.14,few checkers,few checkers,-1,-1,29.1
310000B,yes,28.85,few checkers,few checkers,-1,-1,29.9
400000B,yes,30.3,few checkers,few checkers,-1,-1,31.3
000005A,yes,22,rollish,NNM,22,-1,0
000014A,yes,22,rollish,NNM,22,-1,0
000023A,yes,22,rollish,NNM,22,-1,0
000032A,yes,22.13,rollish,NNM,22,-1,0.1
000041A,yes,22.39,rollish,NNM,22,-1,0.4
000050A,yes,22.56,rollish,SSS,22.5,-1,0.1
000104A,yes,22,rollish,CYM,22,-1,0
000113A,yes,22.03,rollish,NNM,22,-1,0
000122A,yes,22.14,rollish,NNM,22,-1,0.1
000131A,yes,22.39,rollish,NNM,22,-1,0.4
000140A,yes,22.58,rollish,SSS,22.5,-1,0.1
000203A,yes,22.36,rollish,CYM,22.2,-1,0.2
000212A,yes,22.44,rollish,NNM,22,-1,0.4
000221A,yes,22.61,rollish,NNM,22.4,-1,0.2
000230A,yes,22.68,rollish,SSS,22.5,-1,0.2
000302A,yes,22.89,high,SSS,23.5,-1,-0.6
000311A,yes,22.82,high,NNM,22.8,-1,0
000320A,yes,23.2,high,SSS,23,-1,0.2
000401A,yes,23.85,high,SSS,23.5,-1,0.4
